epoch,object,sep,sep_err,pa,pa_err,rv,rv_err,raoff,raoff_err,decoff,decoff_err,radec_corr,ref
57538.42600476,1,830.4,4.9,150.28,0.22,,,,,,,,Chauvin+2017
57565.51000561,1,830.1,3.2,150.14,0.17,,,,,,,,Chauvin+2017
57791.0,1,827.6,1.5,150.11,0.15,,,,,,,,Chauvin+2017
57793.055,1,828.8,1.5,150.05,0.16,,,,,,,,Chauvin+2017
57891.0,1,832,3,149.52,0.19,,,,,,,,Cheetham+2019
57892.0,1,850,20,148.5,1.6,,,,,,,,Cheetham+2019
58250.035,1,822.9,2.0,149.85,0.15,,,,,,,,Cheetham+2019
58250.035,1,826.4,2.4,149.89,0.16,,,,,,,,Cheetham+2019
58263.5,1,,,,,14,15,,,,,,Petrus+2021: pl_medvel (26 pm 15) - st_medvel (12.2 pm 0.3)
59221.312,1,,,,,,,415.613,0.107484,-708.133,0.073203,-0.095039,GRAVITY+unpub
59602.271,1,,,,,,,416.269,0.035,-705.051,0.035,-0.224,GRAVITY+unpub